filename,sapID,x,y,ID,spider,vidGroup,x_min,x_max,y_min,y_max
20180225_073721_displ1,4,0.08,-0.76,CAN03,0,10,,,,
20180225_073721_displ1,G,0.26,-0.15,CAN03,0,10,,,,

20180225_073799_displ2,1,0.01,-0.03,CAN03,0,10,,,,
20180225_073799_displ2,3,0.90,-0.62,CAN03,0,10,,,,
20180225_073799_displ2,4,0.08,-0.76,CAN03,0,10,,,,
20180225_073799_displ2,G,0.26,-0.14,CAN03,0,10,,,,

20180225_075404_displ2,1,0.11,-0.10,CAN03,0,10,,,,
20180225_075404_displ2,2,0.66,0.00,CAN03,0,10,,,,
20180225_075404_displ2,3,1.07,-0.53,CAN03,0,10,,,,
20180225_075404_displ2,4,0.33,-0.85,CAN03,0,10,,,,
20180225_075404_displ2,G,0.36,-0.18,CAN03,0,10,,,,
20180225_080154_displ3,1,0.08,-0.12,CAN03,0,10,,,,
20180225_080154_displ3,2,0.63,0.01,CAN03,0,10,,,,
20180225_080154_displ3,3,1.09,-0.52,CAN03,0,10,,,,
20180225_080154_displ3,4,0.32,-0.83,CAN03,0,10,,,,
20180225_080154_displ3,G,0.26,-0.12,CAN03,0,10,,,,
20180225_080216_displ4,1,0.08,-0.12,CAN03,0,10,,,,
20180225_080216_displ4,2,1.08,-0.53,CAN03,0,10,,,,
20180225_080216_displ4,4,0.32,-0.83,CAN03,0,10,,,,
20180225_080216_displ4,G,0.32,-0.18,CAN03,0,10,,,,

20180222_081726_displ3,1,0.63,-0.17,CAN03,1,11,,0.9,,
20180222_081726_displ3,2,0.11,-0.03,CAN03,1,11,,0.9,,
20180222_081726_displ3,3,0,0.66,CAN03,1,11,,0.9,,
20180222_081726_displ3,4,0.8,0.54,CAN03,1,11,,0.9,,
20180222_081726_displ3,G,0.45,-0.05,CAN03,1,11,,0.9,,
