,cameras,date,err,frame_count,frame_number,frame_timestamp,name,ncameras,oid,type,x,y,z
110,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.105002+01:00,1.7342084347632416,,37697,,,2,28,BVIEW_tracked_3d_object,0.06008277930680427,-0.6918603274088275,0.458699111251664
111,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.111317+01:00,1.37535337803816,,37698,,,2,28,BVIEW_tracked_3d_object,0.05849687785788392,-0.6911041156502259,0.4591858704317202
112,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.117112+01:00,0.8498712740736583,,37699,,,2,28,BVIEW_tracked_3d_object,0.05518394967847226,-0.7012186311119335,0.4617383719393388
113,"{""cam_vid_id_2464"": 5, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.123142+01:00,0.6980943376044346,,37700,,,2,28,BVIEW_tracked_3d_object,0.0603350048945154,-0.7068478247005874,0.4612891127240672
114,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.128461+01:00,0.16555391281528395,,37701,,,2,28,BVIEW_tracked_3d_object,0.06504394431497791,-0.6932630237436186,0.46162862891226975
115,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.134539+01:00,1.1626610498659726,,37702,,,2,28,BVIEW_tracked_3d_object,0.06560580550908111,-0.6933017921458527,0.46073226328353123
116,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.140235+01:00,0.9929634611449238,,37703,,,2,28,BVIEW_tracked_3d_object,0.05500263393686369,-0.7004975580994209,0.46157245712763584
117,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.144023+01:00,0.07161937774479843,,37704,,,2,28,BVIEW_tracked_3d_object,0.05338860512927137,-0.6999804364190486,0.46242492198504986
118,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.148875+01:00,0.7065604772513469,,37705,,,2,28,BVIEW_tracked_3d_object,0.05602449831891604,-0.7020690799375505,0.4630054031632271
119,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.153153+01:00,1.4412404613950336,,37706,,,2,28,BVIEW_tracked_3d_object,0.054913547176891404,-0.701645334866014,0.46318508155436083
